name,tenure,owner_club,owner_league,contract_end,loan_club,loan_league,loan_contract_end,position,position_pt,age,nationality,second_nationality,tm_contract_year,contract_option,market_value_eur,tm_link
Gabriel,permanent,Arsenal,Premier League,2029-06-30,,,,CB,Zagueiro,28,BR,,2029,,75000000,transfermarkt.com.br/gabriel/profil/spieler/435338
Matheus Cunha,permanent,Manchester United,Premier League,2030-06-30,,,,CF,Centroavante,27,BR,,2030,mais um ano,75000000,https://www.transfermarkt.com.br/matheus-cunha/profil/spieler/517894
Bruno Guimarães,permanent,Arsenal,Premier League,2030-06-30,,,,CM,Meia Central,28,BR,ES,2030,,70000000,https://www.transfermarkt.com.br/bruno-guimaraes/profil/spieler/520624
Andrey Santos,permanent,Manchester United,Premier League,2031-06-30,,,,DM,Volante,22,BR,,2031,opção do clube 1 ano,40000000,https://www.transfermarkt.com.br/andrey-santos/profil/spieler/743600
Danilo,permanent,Botafogo FR,Série A - Brasil,2029-06-30,,,,CM,Meia Central,25,BR,,2029,,32000000,https://www.transfermarkt.com.br/danilo/profil/spieler/808509
Omari Hutchinson,permanent,Notthigham Forest,Premier League,2030-06-30,,,,RW,Ponta Direita,22,EN,JM,2030,,30000000,https://www.transfermarkt.com.br/omari-hutchinson/profil/spieler/741238
Marquinhos,permanent,Paris Saint Germain,Ligue 1,2028-06-30,,,,CB,Zagueiro,32,BR,PT,2028,,28000000,https://www.transfermarkt.com.br/marquinhos/profil/spieler/181767
Kaio Jorge,permanent,Cruzeiro,Série A - Brasil,2030-12-31,,,,CF,Centroavante,24,BR,,2030,,25000000,https://www.transfermarkt.com.br/kaio-jorge/profil/spieler/620477
David Neres,permanent,Napoli,Série A - Italia,2028-06-30,,,,RW,Ponta Direita,29,BR,,2028,mais um ano,23000000,https://www.transfermarkt.com.br/david-neres/profil/spieler/469822
Galeno,permanent,Al-Ahli,Saudi Pro League,2028-06-30,,,,LW,Ponta Esquerda,28,BR,PT,2028,,20000000,https://www.transfermarkt.com.br/galeno/profil/spieler/454121
Pedro (CF),permanent,Flamengo,Série A - Brasil,2027-12-31,,,,CF,Centroavante,29,BR,,2027,,20000000,https://www.transfermarkt.com.br/pedro/profil/spieler/432895
Pedro (LW),permanent,Zenit,Premier Liga (RU),2030-06-30,,,,LW,Ponta Esquerda,20,BR,,2030,,20000000,https://www.transfermarkt.com.br/pedro/profil/spieler/1004741
Vanderson,permanent,Monaco,Ligue 1,2028-06-30,,,,RB,Lateral Dir.,25,BR,,2028,,18000000,https://www.transfermarkt.com.br/vanderson/profil/spieler/789082
Douglas Luiz,permanent,Juventus,Serie A,2029-06-30,,,,CM,Meia Central,28,BR,,2029,,18000000,https://www.transfermarkt.com.br/douglas-luiz/profil/spieler/447661
Dodô,permanent,Fiorentina,Serie A,2027-06-30,,,,RB,Lateral Dir.,27,BR,,2027,,16000000,https://www.transfermarkt.com.br/dodo/profil/spieler/401529
Jair Cunha,permanent,Notthigham Forest,Premier League,2030-06-30,,,,CB,Zagueiro,21,BR,,2030,,15000000,https://www.transfermarkt.com.br/jair-cunha/profil/spieler/984096
Jhon Jhon,permanent,Zenit,Premier Liga (RU),2031-06-30,,,,AM,Meia Ofensivo,23,BR,,2031,,15000000,https://www.transfermarkt.com.br/jhon-jhon/profil/spieler/964582
Felipe Augusto,permanent,Zenit,Premier Liga (RU),2030-06-30,,,,CF,Centroavante,22,BR,,2030,,15000000,https://www.transfermarkt.com.br/felipe-augusto/profil/spieler/834899
Ângelo,permanent,Al-Nassr,Saudi Pro League,2029-06-30,,,,RW,Ponta Direita,21,BR,,2029,,15000000,https://www.transfermarkt.com.br/angelo/profil/spieler/743598
